作者,標題,內文,發佈時間,按讚數,收藏數,討論數
梨巴啦,生活费0.1w女大学生没踩雷的一整套化妆品,"选择化妆品上以前一直追求大牌，总认为贵的就一定是好的，直到大学室友给我种草了这些便宜又好用的东西，完全打开了我化妆品世界的另一扇门！这些便宜又好用的东西画出来的妆效真的完全不输大牌！真后悔没早点发现它们~

🪆NYX遮瑕：遮瑕力特别好，里面好几个颜色可以根据自己的肤色来调更适合自己的遮瑕色，我属于黑眼圈特别重的类型我一般用它这个米黄色和桃粉色来遮盖黑眼圈。遮得特别好还很自然不会卡细纹这些。

🪆黑羽王子假睫毛：这个性价比真很高，很大一盘才几块钱，每次一个眼睛贴三簇就行了，贴上还很自然不会戳眼睛，支撑力也很不错，出门一整天贴上它都不会塌。

🪆洛杉矶眼影：属于百搭不挑人的一个眼影，用它完全不担心颜色不适合自己，我这个肿眼泡日常用它感觉特别消肿，每次随便选两三个颜色扫眼皮上完全不担心下手太重，新手姐妹们可入手！

🪆花洛莉亚卧蚕笔：我这只是04号色，颜色很自然，每次画完眼妆会用它来提升整个眼妆精致度，笔尖很细画卧蚕很自然，用完眼睛看着眼睛又大一圈，真的太爱用它了~

🪆三月理水乳：属于油皮姐妹人手一套的水乳！最近天气慢慢变热我天天吃重油重辣的食物，结果脸上冒好多大痘痘，给我这个出门必化妆的人吓惨了！我就晚上疯狂用这个红茶水怼脸上湿敷再擦柔肤露，结果没过几天痘痘就瘪下去了痘印也几乎看不见，这瘪痘速度是真快！用完这个一段时间感觉脸上出油这些都减少了好多，化妆再也不担心会浮粉卡粉这些了！！

🪆Essence粉饼：我这个绿色款不得不说这真是好用！用它上脸定妆控油肤感特别棒，上脸瞬间哑光，自带磨皮感，出门用它补妆也不错，防水又防汗适合大油皮。主要是价格还很便宜！！
#大学生彩妆#便宜化妆品#学生党#大学生爱用#平价彩妆",2024-04-03 四川,17000,1000,238
乐乐不乐,0,当我画了网感大眼妆去村口逛超市……#当网红妆容回归现实#普通人化妆#原相机妆容,2024-01-07,13000,1521,4342
3CE STYLENANDA,一盘万能多用｜解锁温柔清透眼妆公式,"秋冬元气少女，怎能少得了出挑眼妆？日常又减龄的烟粉盘高甜登场，一盘多用快速打造动人双眸，吸睛电力满格释放！

# AUTO FOCUS 烟粉盘
低饱和烟粉配色，集打底、提亮、晕染、深邃、亮片于一盘，消肿减龄，多种妆容随心切换。助你时刻灵动吸睛，👆戳图解锁四种日常实用画法，化妆小白也能分分钟上手～
.
✨粉色卧蚕妆
用自然杏粉色打造妈生卧蚕，立现大眼无辜感，灵动碎闪楚楚动人，一秒激发男友保护力。
.
✨纯欲清透妆
低饱和玫瑰铺满层次感，通透高级显气质，轻松晕染纯欲氛围感，满格电眼即刻get。
.
✨烟粉玫瑰妆
用细闪和亮片焕现温柔双眸，简单3步get吸睛眼妆，眨眼间演绎浪漫心动，日常也能出挑～
.
✨深邃大眼妆
深棕色加深眼尾三角区，清冷消肿不显脏，3D轮廓更显立体大眼，加上爆闪助攻，碰撞满分魅力。
.
拿捏秋冬吸睛眼妆，你的收藏夹+1了吗？感谢@金猪是我呀的分享~#眼妆教程#清透眼妆",2022-11-20,13000,11000,57
尧忱雨,混血微醺洋娃娃妆 | 妆容教程版,#妆容分享#今日妆容#日常眼妆怎么画,2023-11-20,12000,1000,132
Eveline夜行,四季十六型丨一张图搞懂妆容思路＋彩妆选色,"🍠宝宝们大家好，我是你的色彩风格小助手Eveline，今天给大家带来的是四季十六型的妆容造型的保姆级教程‼️
一季型一张图，图中包括各个细分季型妆容造型的底层逻辑，以及带有色号名的百搭色卡，方便大家直接抄作业，轻松找到适合自己的妆面风格‼️
-
具体的示例及色卡请参考图片部分，文字部分是各季型妆容要点的一句话总结 🥰
-
🌱 春季型
净春＝有存在感的高彩度暖色＋光泽感＋显化对比度
暖春＝暖调亮色＋通透感＋眼唇颊配色的协调性
浅春＝清淡的暖调浅色＋微妙的光泽感＋纤细的呼吸感
柔春＝中高明度的暖调浊色＋柔雾感＋甜美柔和的氛围
-
🍨 夏季型
浅夏＝清淡的冷调浅色＋轻盈微光＋仙气灵动的氧气感
冷夏＝带灰调的冷色＋柔焦感＋温柔雅致的配色
柔夏＝贴近肤色的冷调浊色＋磨砂雾感＋柔和原生美
深夏＝中等明度的冷调浊色＋适当的色彩存在感
-
🍂 秋季型
柔秋＝贴近肤色的暖调浊色＋陶器光晕感＋低调裸妆
暖秋＝大地色系的暖色＋磨砂柔焦感＋大气华贵的配色
深秋＝暖调深色＋强调轮廓结构和对比度
浅秋＝高明度的暖调浊色＋微弱的光晕感＋白开水原生美
-
❄️ 冬季型
深冬＝冷调深色＋一定的光泽度＋深邃浓郁的色彩氛围
冷冬＝纯净的冷色＋明显的光泽度＋强调对比度
净冬＝明艳的冷调纯色＋玻璃般的反光感＋显化对比度
柔冬＝中低明度的冷调浊色＋平衡与节制＋适当的对比度

#色彩搭配#四季十二型#四季型十六型#四季型人#妆容分享#妆容教程#妆容配色#新手化妆技巧
#春季型人#春季型人妆容#净春#暖春#浅春#柔春
#夏季型人#夏季型人妆容#浅夏#冷夏#柔夏#深夏
#秋季型人#秋季型人妆容#柔秋#暖秋#深秋#浅秋
#冬季型人#冬季型人妆容#深冬#冷冬#净冬#柔冬
#冷皮#冷白皮#橄榄皮#橄榄皮妆容#橄榄皮天菜",2023-08-06,12000,1000,355
神奇小Q,🎵音乐节妆容合集来啦~右划看更多👉🏻,"最近化的一些音乐节妆容~多巴胺风格 甜酷风格什么的都有~宝贝们喜欢哪个嘞？
💫之后就有很多演唱会啦~准备开始出演唱会应援妆啦！宝贝们想看谁的 告诉我哦！
#音乐节主打妆备#今日妆容#妆容#化妆#音乐节妆容#妆容分享#音乐节#撸个妆#妝容合集#创意妆#创意妆容#多巴胺#甜妹#甜酷女孩#玩妆#仿妆",2023-06-02,11000,6197,122
呼阿花,多巴胺眼妆～,"那些年我画过的多巴胺眼妆！
#眼妆分享#眼妆教程#新手眼妆#眼妆不重样#日常眼妆怎么画",2023-05-29,9723,5867,141
蛋包猪,腮红share｜下面向您走来的是腮红方阵！！,"收拾完感叹自己真的是个很好割的韭菜
好像从小到大都很爱做色卡？腮红色卡这不就来了！
爱刷色这回事可能是刻在美术生DNA里了吧
-
List：
②低饱和灰粉
③纸扎小人粉
④牛奶膨胀色
⑤杏仁奶栗棕
⑥嫩妹甜蜜瓜
⑦千金蜜桃色
⑧酒渍小杨梅
-
#腮红试色#平价腮红#新手彩妆
#腮红膏#腮红推荐#腮红分享",2024-01-20,9640,4789,148
Amelia,🆘！坚持化妆真的会变美！！！！,"图一是大二在宿舍画的妆容啦，现在看着妆面好假而且真的很不适合自己！！后面的妆是后来自己摸索出来的妆容辣，老婆们有没有最喜欢的妆容呢？
#妆容分享#妆容教程#Amelia的美妆分享#新手化妆",2023-07-04,9563,1044,544
FJ Beauty Oasis,天知道，日本樱花妹为了不脱妆有多努力,"有没有和我一样的宝宝，夏天刚化好的妆，出个门就花了。
前几天看到走在我前面的樱花妹，神奇，对方的妆根本不会花。
于是我暗下决心，找了很久，终于发现了樱花妹夏天不脱妆的mimi：
⑴ kose定妆粉饼
今年的新款，超级防水，出汗玩水不怕晕妆。
想象下，水珠在荷叶上滚来滚去的感觉。
⑵kose毛孔隐形霜
清透服帖不卡粉，用一次惊艳一次，必上“隐形红榜”。
轻轻推开就感觉毛孔吸满了水，后续涂其他，一点都不卡，服服帖帖。
⑶urumina隔离妆前乳 两个颜色
Urumina隔离妆前乳有两个颜色。
紫色是新出的，不怕闪的赶紧冲，保湿又防晒，spf50。
经典米色均匀肤色，遮盖毛孔，防止暗沉。
⑷urumina定妆喷雾
蓝色这款定妆喷雾，是清爽的花果香。
摩洛哥坚果油和玫瑰果油也能让肌肤的光泽度提高。
喷雾头设计让人眼前一亮，细密的水分不被彩妆阻隔且能很快渗透皮肤，并不会花妆。
⑸biore碧柔补妆湿巾 两款
不是普通的湿巾，而是可以轻松吸附脸上的油脂、汗水，还有脱落的妆容的补妆湿巾，
添加丰富的化妆水，保持肌肤清爽不拔干，自然后续补底妆不成问题。
⑹fujiko 染眉胶
轻轻一抹，精致眉毛可期。
Fujiko 染眉胶，懒人必入，不用每天画眉。
⑺fujiko 眉刷
好用不贵，zui适合手残党，而且防水不晕染。
⑻canmake 眼部彩妆打底
包装好看，眼影上色不错，而且持续，夏天怕脱妆的人赶紧收藏。
⑼BCL刘海定型喷
防汗防湿气，简单一喷，即可定型。
你想怎么跳就怎么跳。

#护肤品  #去日本买什么  #樱花妹  #我的护肤日常  #不脱妆挑战",2023-06-14,8711,1000,67
棠小白,假如每个大牌只能选一盘眼影丨秋冬眼影分享,#眼影#秋冬眼影#眼影分享#大地色眼影#美拉德,2023-11-20,8516,6259,262
朱妞妞,六款眼妆合集 | 我觉得富家千金全场最佳,"你们喜欢哪个嘞？
最近画过的眼妆我选了四个
搞了个合集
你们想学哪个吖
#笔记灵感#日常眼妆怎么画#日常妆容打卡#今日妆容#新手眼妆#眼妆教程#眼妆分享#眼妆不重样#眼妆@美妆薯@美妆情报局@薯队长",2023-04-29,8242,3723,79
梨巴啦,奉劝那些买便宜化妆品的女生。。。,"不要贪便宜买很多又放那里积灰，作为穷鬼女大学生，我真的很会挑便宜又好用的小彩妆，这些每一个都是我用过没踩雷的，姐妹们可以参考一下~

🪸KATO定妆喷雾+定妆散粉：这两个搭配一起用效果绝佳。上粉底时用定妆喷雾喷在粉扑上拍打上脸，底妆超级服帖，简直焊在脸皮上！后面用散粉拍一拍，整张脸就是雾面哑光妆感。一整天妆都不会花！脸上也不出油~

🪸Jill Leen腮红：这盘色号是#18，很火的一个显嫩膨胀色。上脸粉嘟嘟的，用点彩刷在脸蛋轻扫两下立马嘭起来，整个妆容都精致不少！特别百搭，别看它小小一个但可以用超级久。

🪸花洛莉亚唇泥：这只唇泥是裸杏色很适合素颜涂，百搭又不挑肤色。有时候早八赶着去上课来不及化妆就涂一下它，特别显气色，主要是持久度还很久，喝水也不会留下口红印子。素颜真的很喜欢用它！

🪸唯资修容盘:一盘可多用的修容，上脸很自然，我一般用它这个修容色修鼻梁不会显脏，高光色来提亮面中也特别干净。新手宝贝们也能很好上手，价格也便宜性价比很高！

🪸NYX遮瑕：这个遮瑕简直我的心头爱！对我这种熬夜选手特别友好，每次用它遮我这个万年熊猫眼都遮盖的特别好，用在脸上又润又扒脸，完全不担心眼下会卡纹，而且它有好几个颜色，可以调不同的颜色去遮脸上的各种瑕疵，遮得整张脸都特别自然！

🪸三月理水乳：之前脸上特别多痘痘痘印这些，每次化妆不仅卡粉而且妆容看起来很脏很廉价，每次出去和朋友玩都戴口罩把脸遮住。自从朋友推荐了它，我就每天都坚持用它湿敷全脸再涂柔肤露，没几个星期，脸上痘痘痘印这些真的消失了特别多，而且几乎看不见痘印的存在！现在妆容贴脸又精致完全没有廉价感了。
#化妆品#平价化妆品#大学生#彩妆分享#学生党",2024-03-21,8756,5272,253
小红书我的百度百科,一篇看全平价｜膨胀色牛奶粉&腮紫低至几元！,"全程无广 有广吃💩！！！
整理我手上用下来 值得拿出来分享推荐的膨胀色
不过百 基本都维持在50💰以下！
腮红剁手只求性价比
over！
有问题🤨✍️见
#膨胀色腮红#牛奶粉#原相机试色",2023-07-03,7585,3722,142
小liu耶,一些蓝色撞色眼妆合集～,#化个音乐节出众妆#眼妆不重样#眼妆分享#创意妆#眼妆#撞色眼妆#眼妆一抹海洋蓝,2023-11-10,7353,4124,117
芭比烤面包,单眼皮近期眼妆随手画💖我说不难你信吗,#单眼皮#单眼皮眼妆#单眼皮如何画眼妆#创意妆,2023-08-14,6977,3451,67
木子喜歡裙子,🐰💗🩰沉浸式开箱｜近期购物分享我太会买啦,#拆快递#开箱#我的开箱日常#购物分享#我的日常#彩妆#彩妆分享,2024-03-13,6822,1276,52
纳塔莉Nataliee,🫧秒变惊艳大美女*365天都在化的妆（跟练版,"365天都在化的妆，全程干货无广！虽然时间比较长但每一步都是重点，不要错过不然我会哭
#笔记灵感#尝试一个新look#努力成为更好的自己#妆容分享#今日妆容#妆容教程#我的美妆分享#手把手教学#手把手教化妆",2023-09-21,6585,9045,265
呆呆张,妆教｜多巴胺撞色的feel～夏天一定要画一次,#日常妆容打卡#多巴胺#多巴胺妆容#撞色眼妆#内双肿眼泡#妆教#夏日缤纷妆容色#菱形脸化妆#夏天的味道#短发女生#日系卷发,2023-07-04,6274,4364,146
不得无李爱化妆,虽然白菜价但真的不踩雷（彩妆师精挑版,"谢@犯困大王小姐姐的授权分享！
@薯管家已获得原作者授权！
不得不说这一套精挑细选下来真是都挺适合咱们新手小白的，平价又实用
尤其是我们底妆卡粉斑驳不服贴的姐妹们，不要觉得妆前乳是智商税，它可是你整个妆容的灵魂

#平价彩妆#美妆#化妆#化妆品#新手化妆#学生党#化妆小白#好物推荐#彩妆#妆前乳#卡粉#底妆#妆前乳推荐#干皮#芮本诗#芮本诗妆前乳#obas妆前乳#奶兔妆前乳",2024-03-22 广东,6503,4773,25
